iter	Passed	Remaining
0	158	158769
1	161	80458
2	163	54306
3	165	41183
4	167	33390
5	170	28228
6	172	24462
7	174	21623
8	176	19436
9	178	17677
10	180	16242
11	183	15086
12	185	14092
13	187	13239
14	190	12479
15	192	11819
16	194	11242
17	197	10758
18	199	10306
19	201	9895
20	204	9514
21	206	9165
22	208	8842
23	210	8549
24	212	8294
25	214	8050
26	216	7818
27	218	7601
28	221	7401
29	223	7213
30	225	7058
31	228	6899
32	229	6736
33	231	6578
34	233	6429
35	234	6285
36	236	6148
37	237	6013
38	239	5903
39	241	5801
40	243	5687
41	244	5574
42	245	5469
43	246	5366
44	248	5268
45	249	5174
46	250	5082
47	251	4993
48	252	4906
49	254	4827
50	255	4748
51	256	4670
52	257	4598
53	258	4525
54	259	4455
55	260	4389
56	261	4323
57	262	4260
58	263	4199
59	264	4140
60	265	4081
61	266	4025
62	267	3972
63	268	3920
64	269	3871
65	270	3825
66	271	3776
67	272	3729
68	273	3683
69	274	3640
70	274	3598
71	275	3555
72	276	3513
73	277	3474
74	278	3437
75	279	3400
76	280	3364
77	281	3328
78	282	3292
79	283	3262
80	284	3231
81	285	3200
82	286	3163
83	287	3135
84	288	3104
85	289	3075
86	290	3046
87	291	3018
88	292	2990
89	293	2963
90	293	2936
91	294	2909
92	295	2884
93	296	2860
94	298	2838
95	299	2818
96	300	2795
97	301	2771
98	302	2748
99	302	2726
100	303	2705
101	304	2683
102	305	2662
103	306	2642
104	307	2621
105	308	2602
106	309	2582
107	310	2562
108	311	2545
109	312	2529
110	313	2514
111	314	2497
112	315	2479
113	316	2461
114	317	2444
115	318	2428
116	319	2410
117	320	2394
118	321	2377
119	322	2361
120	323	2346
121	323	2330
122	324	2315
123	325	2300
124	326	2287
125	328	2275
126	329	2262
127	330	2248
128	330	2234
129	332	2222
130	332	2208
131	333	2195
132	334	2181
133	335	2169
134	336	2156
135	337	2143
136	338	2131
137	339	2118
138	340	2106
139	341	2094
140	342	2085
141	343	2072
142	344	2062
143	345	2051
144	345	2039
145	346	2028
146	347	2018
147	348	2007
148	349	1997
149	350	1986
150	351	1976
151	352	1966
152	353	1956
153	354	1946
154	355	1936
155	356	1927
156	357	1919
157	358	1910
158	359	1901
